n,p,m,tiempo
10,0.2,14,489.115
10,0.4,19,409.619
10,0.6,24,649.052
20,0.2,38,789.813
20,0.4,77,1635.65
20,0.8,143,3127.63
30,0.2,96,2779.25
30,0.4,169,5685.14
30,0.8,354,11500
40,0.2,142,6193.65
40,0.4,309,17760.4
40,0.8,635,28365.3
50,0.2,248,16509.3
50,0.4,477,34770.9
50,0.8,995,62140
60,0.2,343,26061.7
60,0.4,692,56891.6
60,0.8,1435,111108
70,0.2,488,53944.2
70,0.4,951,100943
70,0.8,1932,216204
80,0.2,637,83300.3
80,0.4,1259,136033
80,0.6,1929,250597
80,0.8,2505,307161
