fila,columna,tiempo
122,462,165.501
122,482,170.706
122,502,175.484
122,522,181.131
122,542,222.902
122,562,229.443
122,582,235.272
122,602,241.894
122,622,248.07
122,642,253.585
122,662,260.369
122,682,265.723
122,702,271.234
122,722,277.088
122,742,282.924
122,762,288.185
122,782,293.75
122,802,300.564
122,822,304.075
122,842,310.06
122,862,316.086
122,882,320.614
122,902,325.499
122,922,330.755
122,942,336.003
122,962,341.467
122,982,346.667
142,2,0.672072
142,22,9.46641
142,42,18.1974
142,62,33.5614
142,82,35.7277
142,102,42.0848
142,122,57.5196
142,142,64.7646
142,162,71.1601
142,182,77.4511
142,202,83.5605
142,222,89.4576
142,242,114.233
142,262,121.756
142,282,128.732
142,302,135.313
142,322,141.789
142,342,148.16
142,362,154.459
142,382,160.788
142,402,167.198
142,422,172.876
142,442,179.04
142,462,221.539
142,482,229.075
142,502,236.412
142,522,243.595
142,542,250.074
142,562,256.804
142,582,263.535
142,602,270.825
142,622,277.207
142,642,283.696
142,662,290.178
142,682,297.149
142,702,303.026
142,722,308.992
142,742,315.422
142,762,321.319
142,782,327.35
142,802,333.461
142,822,339.464
142,842,346.717
142,862,350.984
142,882,357.256
142,902,364.858
142,922,369.243
142,942,449.662
142,962,457.316
142,982,465.281
162,2,0.742543
162,22,10.358
162,42,20.0474
162,62,32.3125
162,82,40.6306
162,102,55.7573
162,122,63.639
162,142,71.1654
162,162,78.4744
162,182,85.5239
162,202,92.2894
162,222,118.744
162,242,126.552
162,262,134.751
162,282,141.821
162,302,153.383
162,322,156.112
162,342,163.272
162,362,170.475
162,382,176.973
162,402,183.913
162,422,233.636
162,442,237.638
162,462,245.582
162,482,253.302
162,502,260.897
162,522,268.284
162,542,276.497
162,562,284.104
162,582,291.332
162,602,298.463
162,622,305.443
162,642,312.49
162,662,319.324
162,682,326.347
162,702,340.96
162,722,345.193
162,742,347.53
162,762,354.784
162,782,360.793
162,802,367.602
162,822,448.776
162,842,458.327
162,862,466.547
162,882,474.306
162,902,482.51
162,922,492.774
162,942,498.632
162,962,506.162
162,982,513.835
182,2,0.806659
182,22,11.2937
182,42,21.7575
182,62,34.964
182,82,42.9404
182,102,60.5784
182,122,69.4094
182,142,77.367
182,162,85.406
182,182,111.507
182,202,120.987
182,222,129.605
182,242,138.248
182,262,146.075
182,282,154.258
182,302,162.279
182,322,169.902
182,342,178.072
182,362,222.724
182,382,231.763
182,402,241.115
182,422,250.82
182,442,259.069
182,462,267.488
182,482,281.607
182,502,283.92
182,522,292.401
182,542,300.67
182,562,314.105
182,582,316.491
182,602,324.391
182,622,332.74
182,642,339.268
182,662,347.945
182,682,355.484
182,702,363.382
182,722,445.161
182,742,453.121
182,762,463.707
182,782,473.9
182,802,482.205
182,822,492.241
182,842,499.252
182,862,511.627
182,882,517.428
182,902,528.894
182,922,542.985
182,942,545.928
182,962,555.226
182,982,560.634
202,2,1.37871
202,22,14.52
202,42,28.2555
202,62,37.7499
202,82,55.6348
202,102,65.6281
202,122,74.7188
202,142,88.6034
202,162,92.0621
202,182,122.473
202,202,130.739
202,222,139.933
202,242,149.285
202,262,157.932
202,282,167.378
202,302,175.325
202,322,183.388
202,342,230.751
202,362,240.445
202,382,250.758
202,402,260.696
202,422,270.698
202,442,280.812
202,462,289.724
202,482,298.555
202,502,306.879
