fila,columna,tiempo
122,422,5091.65
122,442,5531.52
122,462,6102.4
122,482,6678.02
122,502,7159.63
122,522,7769.63
122,542,8535.42
122,562,9240.77
122,582,10143.7
122,602,10853.2
122,622,11702.2
122,642,12408.5
122,662,13432
122,682,14250.7
122,702,15139.7
122,722,15942.7
122,742,16975.4
122,762,17950
122,782,18986.4
122,802,19883.4
122,822,21052.5
122,842,22270
122,862,23600.1
122,882,24897.9
122,902,26129.9
122,922,27452.2
122,942,29158
122,962,30583.8
122,982,31839.7
142,2,0.67437
142,22,19.3609
142,42,66.1269
142,62,129.525
142,82,212.817
142,102,321.619
142,122,474.021
142,142,682.631
142,162,897.605
142,182,1143.15
142,202,1433.93
142,222,1737.24
142,242,2093.83
142,262,2462.73
142,282,2857.03
142,302,3283.78
142,322,3779.44
142,342,4336.92
142,362,4867.85
142,382,5443.55
142,402,6050.9
142,422,6740.6
142,442,7352.92
142,462,8189.75
142,482,9020.29
142,502,9911.8
142,522,10917.3
142,542,11674.2
142,562,12434.3
142,582,13423.7
142,602,14234.4
142,622,15219.6
142,642,16069.7
142,662,17045.3
142,682,18190.6
142,702,19144.4
142,722,20343.2
142,742,21449.4
142,762,22756.5
142,782,24209.9
142,802,25627.8
142,822,27073.1
142,842,28649
142,862,30232.4
142,882,
